Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.7791666;24.56052;14.59439;99.91367153;2.089552;0.1624736;1.023872;99.95704;0.02114828
0.7875;24.63094;14.59421;99.91243924;2.080785;0.1609194;1.014318;99.99866;0.02108728
0.7958334;24.68942;14.59403;99.91120696;2.07247;0.1594309;1.005176;100.0843;0.02108552
0.8041668;24.75763;14.59386;99.91004313;2.064356;0.1579694;0.996205;99.97905;0.02102615
0.8125;24.82138;14.59369;99.9088793;2.056001;0.1564694;0.9869891;100.0045;0.02102465
0.8208332;24.89284;14.59352;99.90771548;2.047413;0.1549291;0.9775207;99.95801;0.02096768
0.8291666;24.96008;14.59335;99.90655165;2.038718;0.15337;0.9679322;100.0662;0.02091339
0.8375;25.02702;14.59316;99.90525091;2.029691;0.1517565;0.9580001;99.96668;0.02091264
0.8458334;25.09606;14.593;99.90415554;2.020862;0.1501721;0.948248;99.96361;0.02086129
0.8541668;25.1644;14.59279;99.90271787;2.011976;0.148578;0.9384319;100.0309;0.0208118
0.8625;25.23884;14.5926;99.90141713;2.00292;0.1469537;0.9284234;99.96062;0.02081001
0.8708332;25.31156;14.5924;99.90004792;1.993916;0.1453369;0.9184584;100.0443;0.02076185
0.8791668;25.38262;14.59223;99.8988841;1.984735;0.1436896;0.9082999;100.0133;0.02071574
0.8875;25.4558;14.59205;99.89765181;1.975256;0.1419956;0.8978426;99.97518;0.02071516
0.8958332;25.53493;14.59184;99.89621414;1.965908;0.1403184;0.8874897;99.95208;0.02067238
0.9041666;25.60994;14.59166;99.89498186;1.956409;0.1386166;0.8769781;100.0154;0.02063191
0.9125;25.6845;14.59144;99.89347573;1.946756;0.1368888;0.8662982;100.0562;0.02059271
0.9208334;25.75678;14.59126;99.89224344;1.937256;0.1351842;0.8557599;100.0034;0.02059242
0.9291668;25.84015;14.59109;99.89107962;1.927338;0.1334129;0.8447976;99.94953;0.02055632
0.9375;25.91372;14.59092;99.88991579;1.917302;0.1316223;0.8337086;100.0001;0.02052286
0.9458332;25.99624;14.59074;99.88868351;1.907502;0.1298644;0.8228228;100.0321;0.02052296
0.9541666;26.0706;14.59056;99.88745122;1.897344;0.1280528;0.8115912;99.99934;0.02049212
0.9625;26.15918;14.59038;99.88621894;1.886738;0.1261716;0.7999134;99.97806;0.02046332
0.9708334;26.23598;14.59019;99.88491819;1.876289;0.1243113;0.788364;100.0077;0.02043595
0.9791668;26.31758;14.59;99.88361744;1.865564;0.1224094;0.776546;100.002;0.02043601
0.9875;26.39575;14.58982;99.88238516;1.854849;0.1205083;0.7647262;100.0102;0.02041166
0.9958332;26.47272;14.58963;99.88108441;1.844162;0.1186131;0.7529369;100.0121;0.02039034
1.004167;26.5661;14.58941;99.87957828;1.833494;0.1167167;0.741136;99.98688;0.02037039
1.0125;26.65464;14.58919;99.87807216;1.822626;0.1147872;0.7291199;99.98609;0.02037071
1.020833;26.74058;14.58896;99.87649757;1.811498;0.1128152;0.7168299;100.0316;0.02035247
1.029167;26.82347;14.58876;99.87512836;1.800423;0.1108527;0.7045918;99.9622;0.0203359
1.0375;26.91224;14.58852;99.87348532;1.78919;0.1088634;0.6921775;99.98871;0.02032112
1.045834;26.99752;14.58828;99.87184227;1.777877;0.1068611;0.679674;100.0519;0.02032122
1.054167;27.08748;14.58804;99.87019922;1.766354;0.1048284;0.6669687;100.01;0.02030757
1.0625;27.18215;14.58781;99.86862463;1.754602;0.1027562;0.6540082;99.96658;0.01958954
1.070833;27.26831;14.58758;99.86705004;1.742918;0.1006936;0.6411011;99.97201;0.01910957
1.079166;27.36192;14.58733;99.86533854;1.73094;0.09858265;0.6278818;100.0194;0.01885324
1.0875;27.45188;14.5871;99.86376395;1.718844;0.09645345;0.6145385;100.0124;0.01872739
1.095833;27.5452;14.58686;99.8621209;1.706748;0.09432563;0.601194;100.0274;0.01860152
1.104166;27.639;14.58662;99.86047785;1.695072;0.09225958;0.5882351;99.98064;0.01854123
1.1125;27.72742;14.58634;99.85856096;1.682914;0.09012174;0.5748102;99.96399;0.01851299
1.120833;27.81904;14.58608;99.856781;1.671008;0.08802001;0.5616078;100.0242;0.01848462
1.129167;27.91468;14.58586;99.85527487;1.659491;0.08597706;0.5487712;100.0228;0.01848584
1.1375;28.01866;14.58561;99.85356336;1.647962;0.08392744;0.5358863;99.99397;0.01849873
1.145834;28.10022;14.58534;99.85171493;1.636225;0.08185053;0.5228158;100.0166;0.01849047
1.154167;28.20156;14.58507;99.8498665;1.624074;0.07971157;0.5093399;99.97684;0.01852394
1.1625;28.3003;14.58483;99.84822345;1.612296;0.07762616;0.4961984;99.9673;0.01856596
1.170834;28.40505;14.58458;99.84651195;1.600312;0.0755085;0.4828426;99.98889;0.01861603
1.179167;28.49546;14.58431;99.84466352;1.588483;0.07341324;0.4696205;100.0216;0.01867157
1.1875;28.59769;14.58407;99.84302047;1.575959;0.0712163;0.4557374;100.0192;0.01873202
1.195833;28.69827;14.58383;99.84137742;1.563612;0.06904218;0.4419922;100.0344;0.01875265
1.204166;28.79676;14.58359;99.83973437;1.551082;0.06684;0.4280578;99.98928;0.01882212
1.2125;28.90118;14.58331;99.83781748;1.538335;0.06460471;0.4139021;99.97111;0.0188983
1.220833;29.00102;14.58305;99.83603752;1.525595;0.06237152;0.3997492;99.9772;0.01897546
1.229166;29.09716;14.58278;99.83418909;1.512822;0.0601326;0.3855496;100.0448;0.01905596
1.2375;29.20227;14.5825;99.8322722;1.500204;0.05791592;0.371482;100.0166;0.01912417
1.245833;29.30628;14.58222;99.83035531;1.486728;0.05557226;0.3565885;99.93813;0.01921185
1.254167;29.40336;14.58194;99.82843842;1.473534;0.05327259;0.341966;100.0318;0.01925431
1.2625;29.50982;14.58166;99.82652153;1.460206;0.0509534;0.3272074;100.0162;0.01935241
1.270834;29.61079;14.58137;99.82453618;1.447089;0.04866446;0.3126316;99.9314;0.01943219
1.279167;29.71717;14.58109;99.82261929;1.433782;0.046349;0.2978735;100.0737;0.01953743
1.2875;29.82724;14.58078;99.82049702;1.420618;0.0440526;0.2832272;99.96014;0.01964856
1.295834;29.93123;14.58049;99.81851167;1.407367;0.04174429;0.268493;100.0292;0.01973519
1.304167;30.03444;14.58018;99.8163894;1.394082;0.0394325;0.253725;100.0144;0.01985027
1.3125;30.14276;14.57987;99.81426713;1.380488;0.03707385;0.2386434;99.98189;0.0199398
