Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.7791666;30.5507;12.31611;99.83067196;0.6763587;-0.06888895;-0.4446522;100.0016;0.04141012
0.7875;30.60797;12.31577;99.82791602;0.6760586;-0.06910188;-0.4461279;99.96805;0.0412472
0.7958334;30.67664;12.31547;99.82548432;0.6759582;-0.0692891;-0.4474409;100.0142;0.04108441
0.8041668;30.73808;12.31514;99.82280944;0.6757212;-0.06949694;-0.4488878;100.0341;0.04107834
0.8125;30.8009;12.31478;99.81989138;0.6751663;-0.06975312;-0.4506493;99.98931;0.04091698
0.8208332;30.85724;12.31444;99.81713545;0.6745788;-0.07001703;-0.4524631;99.99124;0.04075662
0.8291666;30.92723;12.31414;99.81470374;0.6741969;-0.07025011;-0.4540789;100.025;0.04074913
0.8375;30.9935;12.31382;99.81210991;0.673459;-0.070538;-0.4560508;100.0024;0.04058778
0.8458334;31.05642;12.31349;99.80943503;0.6727282;-0.0708266;-0.4580292;100.0053;0.04042737
0.8541668;31.12162;12.31316;99.80676015;0.6721203;-0.07109907;-0.4599056;99.99512;0.04042056
0.8625;31.19482;12.31282;99.80400421;0.6715172;-0.07137408;-0.4618016;99.96274;0.04025986
0.8708332;31.25548;12.31248;99.80124828;0.6703144;-0.0717385;-0.4642774;100.0241;0.04010138
0.8791668;31.32522;12.31213;99.79841128;0.6690538;-0.07211158;-0.466811;100.0277;0.04009466
0.8875;31.39422;12.3118;99.7957364;0.6679685;-0.07246049;-0.4691899;99.93852;0.0399366
0.8958332;31.45981;12.31149;99.79322364;0.6672232;-0.07276076;-0.4712563;100.0302;0.03978006
0.9041666;31.53118;12.31119;99.79079193;0.6661571;-0.0731103;-0.4736447;100.0397;0.03962254
0.9125;31.60188;12.31086;99.78811705;0.66509;-0.0734619;-0.476049;99.95062;0.03961998
0.9208334;31.66476;12.31055;99.78560428;0.6639712;-0.07382065;-0.4785008;100.0035;0.03950658
0.9291668;31.74168;12.31022;99.7829294;0.6625702;-0.07422318;-0.4812393;100.0389;0.03937254
0.9375;31.81248;12.3099;99.78033558;0.6612282;-0.07461838;-0.4839324;99.95907;0.03936985
0.9458332;31.88853;12.3096;99.77790387;0.6599532;-0.07500474;-0.48657;100.0375;0.03919538
0.9541666;31.95704;12.30931;99.77555321;0.65869;-0.07539092;-0.4892096;99.95399;0.0390037
0.9625;32.03444;12.309;99.77304045;0.657628;-0.0757499;-0.4916754;99.96679;0.03880362
0.9708334;32.10805;12.30869;99.77052768;0.6564261;-0.07613179;-0.4942924;100.0394;0.03874728
0.9791668;32.17974;12.30838;99.76801491;0.6550793;-0.07653456;-0.4970463;100.0012;0.03851934
0.9875;32.25033;12.30805;99.76534003;0.6540141;-0.07689722;-0.4995426;100.0017;0.0382743
0.9958332;32.33199;12.30773;99.76274621;0.6526824;-0.07730126;-0.5023112;100.0086;0.03801238
1.004167;32.40293;12.30742;99.76023344;0.6512874;-0.07771562;-0.5051492;100.0205;0.03789705
1.0125;32.47826;12.30713;99.75788279;0.650303;-0.0780704;-0.5076018;99.95859;0.03753619
1.020833;32.56201;12.30685;99.7556132;0.649123;-0.07845645;-0.5102612;100.0105;0.03722292
1.029167;32.63086;12.30655;99.75318149;0.6474553;-0.07891332;-0.5133825;99.99706;0.03689657
1.0375;32.70871;12.30626;99.75083083;0.6458078;-0.07936803;-0.5164929;100.0016;0.03671034
1.045834;32.79112;12.30597;99.74848018;0.6441196;-0.07982999;-0.5196526;100.0051;0.03635686
1.054167;32.87366;12.30566;99.74596742;0.6423072;-0.08031168;-0.5229437;100.0103;0.035893
1.0625;32.9596;12.30534;99.74337359;0.6405734;-0.08078599;-0.5261918;99.98178;0.0355221
1.070833;33.03244;12.30503;99.74086083;0.6389654;-0.0812433;-0.5293316;100.0163;0.03514545
1.079166;33.11689;12.30473;99.73842912;0.6374206;-0.0816911;-0.5324121;100.0242;0.03490496
1.0875;33.18937;12.30444;99.73607846;0.6356722;-0.08217025;-0.5357006;100.0227;0.03451938
